"","plot","type","time","rotation","sample_id","rep","sampling_date","tin.num","Tin.mass","Wet.mass","Dry.mass","percent_wc","dna_extraction_date","Set","R1.Mass","R1.Conc","R2.Mass","R2.Conc","R3.Mass","R3.Conc","Notes","pcr1_euk_date","Successes","Conc.ng.ul","pcr2_euk_date","Euk.BC.Well","Conc.","pcr1_bac_date","Successes.1","Conc..1","pcr2_bac_date","Bac.BC.Well","Conc..2","bacteria_barcode","week","DNA_ng.ul"
"56",332,"bulk",1,"CS","T1U6",3,"7/2/2021",6,27.51,39.07,37.79,0.124513619,"12/10/2021",15,0.25,102.513,0.25,105,0.25,105,NA,"2/3/2021",3,104.171,"2/5/2021","BC62",10.5,"2/22/2022",3,4.976,"3/2/2022","BC62",5.894,"barcode62",1,104.171
"57",332,"bulk",2,"CS","T2U6",3,"7/9/2021",6,27.57,43.44,41.49,0.140086207,"12/15/2021",17,0.25,105,0.25,105,0.25,105,NA,"2/3/2021",3,105,"2/5/2021","BC63",10.5,"2/22/2022",3,7.877,"3/2/2022","BC63",7.219,"barcode63",2,105
"58",332,"bulk",3,"CS","T3U6",3,"7/23/2021",6,27.59,46.7,44.59,0.124117647,"10/9/2021",3,0.25,105,0.25,91.136,0.25,103.722,NA,"2/3/2021",3,99.95266667,"2/5/2021","BC64",10.5,"2/22/2022",3,6.337,"3/2/2022","BC64",8.279,"barcode64",4,99.9526666666667
"59",332,"bulk",4,"CS","T4U6",3,"8/20/2021",14,36.64,46.77,45.23,0.179278231,"12/1/2021",13,0.25,100.419,0.25,99.478,0.25,90.941,NA,"2/3/2021",3,96.946,"2/5/2021","BC65",10.5,"2/22/2022",3,6.301,"3/2/2022","BC65",10.133,"barcode65",8,96.946
"60",332,"bulk",5,"CS","T5U6",3,"9/17/2021",14,36.63,48.79,47.01,0.171483622,"11/5/2021",9,0.25,92.381,0.25,105,0.25,105,NA,"2/3/2021",3,100.7936667,"2/5/2021","BC66",10.5,"2/22/2022",3,5.585,"3/2/2022","BC66",5.894,"barcode66",12,100.793666666667
"61",332,"bag",2,"CS","T2A6",3,"7/9/2021",14,36.65,44.8,44.24,0.073781291,"11/8/2021",10,0.25,18.338,0.25,20.635,0.25,14.117,NA,"2/3/2021",3,17.69666667,"2/5/2021","BC68",10.419,"2/22/2022",3,9.209,"3/2/2022","BC68",8.515,"barcode68",2,17.6966666666667
"62",332,"bag",3,"CS","T3A6",3,"7/23/2021",14,36.65,50.58,49.88,0.052910053,"11/2/2021",6,0.25,22.187,0.25,27.803,0.25,20.021,NA,"2/3/2021",3,23.337,"2/5/2021","BC69",10.5,"2/22/2022",3,8.35,"3/2/2022","BC69",10.581,"barcode69",4,23.337
"63",332,"bag",4,"CS","T4A6",3,"8/20/2021",6,27.58,37.79,36.47,0.14848144,"11/9/2021",11,0.25,22.434,0.25,26.096,0.25,22.004,NA,"2/3/2021",3,23.51133333,"2/5/2021","BC70",10.5,"2/22/2022",3,7.941,"3/2/2022","BC70",12.647,"barcode70",8,23.5113333333333
"64",332,"bag",5,"CS","T5A6",3,"9/17/2021",6,27.57,39.99,38.18,0.170593779,"12/13/2021",16,0.25,23.081,0.25,23.296,0.25,25.019,NA,"2/3/2021",3,23.79866667,"2/5/2021","BC71",10.5,"2/22/2022",3,7.121,"3/2/2022","BC71",11.2,"barcode71",12,23.7986666666667
"65",411,"bulk",0,"CSSwP","T0U7",4,"6/25/2021",7,28.38,44.3,43.09,0.082256968,"9/28/2021",1,0.25,66.341,0.25,104.59,0.25,105,NA,"2/3/2021",3,91.977,"2/5/2021","BC73",10.5,"2/22/2022",3,7.447,"3/2/2022","BC73",9.603,"barcode73",0,91.977
"66",411,"bulk",1,"CSSwP","T1U7",4,"7/2/2021",7,28.37,38.71,37.75,0.102345416,"12/10/2021",15,0.25,105,0.25,98.891,0.25,88.858,NA,"2/3/2021",3,97.583,"2/5/2021","BC74",10.5,"2/22/2022",3,5.442,"3/2/2022","BC74",9.073,"barcode74",1,97.583
"67",411,"bulk",2,"CSSwP","T2U7",4,"7/9/2021",7,28.38,35.04,34.38,0.11,"12/15/2021",17,0.25,75.568,0.25,105,0.25,103.236,NA,"2/3/2021",3,94.60133333,"2/5/2021","BC75",10.5,"2/22/2022",3,7.501,"3/2/2022","BC75",10.928,"barcode75",2,94.6013333333333
"68",411,"bulk",3,"CSSwP","T3U7",4,"7/23/2021",7,28.36,48.42,47.17,0.066454014,"11/5/2021",9,0.25,85.927,0.25,89.902,0.25,95.873,NA,"2/3/2021",3,90.56733333,"2/5/2021","BC76",10.5,"2/22/2022",3,4.475,"3/2/2022","BC76",8.279,"barcode76",4,90.5673333333333
"69",411,"bulk",4,"CSSwP","T4U7",4,"8/20/2021",15,36.41,46.78,45.3,0.16647919,"11/12/2021",12,0.25,71.662,0.25,71.572,0.25,75.868,NA,"2/3/2021",3,73.034,"2/5/2021","BC77",10.5,"2/22/2022",3,5.406,"3/2/2022","BC77",10.928,"barcode77",8,73.034
"70",411,"bulk",5,"CSSwP","T5U7",4,"9/17/2021",15,36.4,48.64,46.96,0.159090909,"11/5/2021",9,0.25,61.699,0.25,82.617,0.25,94.97,NA,"2/3/2021",2,79.762,"2/5/2021","BC78",10.5,"2/22/2022",3,5.012,"3/2/2022","BC78",11.987,"barcode78",12,79.762
"71",411,"bag",1,"CSSwP","T1A7",4,"7/2/2021",15,36.4,44.8,44.27,0.067344346,"10/8/2021",2,0.25,13.809,0.25,13.82,0.25,12.381,NA,"2/3/2021",3,13.33666667,"2/5/2021","BC79",10.5,"2/22/2022",3,7.667,"3/2/2022","BC79",12.647,"barcode79",1,13.3366666666667
"72",411,"bag",2,"CSSwP","T2A7",4,"7/9/2021",15,36.39,44.69,44.15,0.069587629,"12/13/2021",16,0.25,14.149,0.25,17.58,0.25,13.422,NA,"2/3/2021",3,15.05033333,"2/5/2021","BC80",10.5,"2/22/2022",3,6.77,"3/2/2022","BC80",17.399,"barcode80",2,15.0503333333333
"73",411,"bag",3,"CSSwP","T3A7",4,"7/23/2021",15,36.39,44.38,43.99,0.051315789,"11/4/2021",8,0.25,21.565,0.25,23.984,0.25,19.674,NA,"2/3/2021",3,21.741,"2/5/2021","BC81",10.5,"2/22/2022",3,7.453,"3/2/2022","BC81",13.266,"barcode81",4,21.741
"74",411,"bag",4,"CSSwP","T4A7",4,"8/20/2021",7,28.37,39.22,37.87,0.142105263,"12/6/2021",14,0.25,22.363,0.25,18.844,0.25,23.583,NA,"2/3/2021",3,21.59666667,"2/5/2021","BC82",10.5,"2/22/2022",3,6.282,"3/2/2022","BC82",15.746,"barcode82",8,21.5966666666667
